accepted_name,verbatim_name,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Gadus chalcogrammus,Gadus chalcogrammus,accepted,Gadus chalcogrammus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,300735,1042646,Aleutian Islands
Hippoglossus stenolepis,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,TRUE,FALSE,FALSE,274290,195615,Aleutian Islands
Gadus macrocephalus,Gadus macrocephalus,accepted,Gadus macrocephalus,NA,species,Actinopteri,Gadiformes,Gadidae,Gadus,TRUE,TRUE,FALSE,254538,80720,Aleutian Islands
Atheresthes stomias,Atheresthes stomias,accepted,Atheresthes stomias,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279792,428034,Aleutian Islands
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,accepted,Reinhardtius hippoglossoides,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Reinhardtius,TRUE,FALSE,FALSE,127144,111784,Aleutian Islands
Hippoglossoides elassodon,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,TRUE,FALSE,FALSE,274289,30945,Aleutian Islands
Sebastes polyspinis,Sebastes polyspinis,accepted,Sebastes polyspinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274837,394702,Aleutian Islands
Pleurogrammus monopterygius,Pleurogrammus monopterygius,accepted,Pleurogrammus monopterygius,NA,species,Actinopteri,Perciformes,Hexagrammidae,Pleurogrammus,TRUE,FALSE,FALSE,282289,192379,Aleutian Islands
Anoplopoma fimbria,Anoplopoma fimbria,accepted,Anoplopoma fimbria,NA,species,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,TRUE,FALSE,FALSE,159463,229290,Aleutian Islands
Sebastes alutus,Sebastes alutus,accepted,Sebastes alutus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,254573,72055,Aleutian Islands
Sebastes aleutianus,Sebastes aleutianus,accepted,Sebastes aleutianus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274771,214485,Aleutian Islands
Sebastes variabilis,Sebastes variabilis,accepted,Sebastes variabilis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,398442,394707,Aleutian Islands
Atheresthes evermanni,Atheresthes evermanni,accepted,Atheresthes evermanni,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,TRUE,FALSE,FALSE,279791,195645,Aleutian Islands
Sebastolobus alascanus,Sebastolobus alascanus,accepted,Sebastolobus alascanus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282740,72110,Aleutian Islands
Sebastes borealis,Sebastes borealis,accepted,Sebastes borealis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274777,394687,Aleutian Islands
Glyptocephalus zachirus,Glyptocephalus zachirus,accepted,Glyptocephalus zachirus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,TRUE,FALSE,FALSE,274287,195612,Aleutian Islands
Stenobrachius leucopsarus,Stenobrachius leucopsarus,accepted,Stenobrachius leucopsarus,NA,species,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,TRUE,FALSE,FALSE,254363,91658,Aleutian Islands
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,accepted,Oncorhynchus tshawytscha,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,158075,74940,Aleutian Islands
Zaprora silenus,Zaprora silenus,accepted,Zaprora silenus,NA,species,Actinopteri,Perciformes,Zaproridae,Zaprora,TRUE,FALSE,FALSE,254353,320590,Aleutian Islands
Leuroglossus schmidti,Leuroglossus schmidti,accepted,Leuroglossus schmidti,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,254551,557346,Aleutian Islands
Bathylagus pacificus,Bathylagus pacificus,accepted,Bathylagus pacificus,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus,TRUE,FALSE,FALSE,272919,557336,Aleutian Islands
Oncorhynchus keta,Oncorhynchus keta,accepted,Oncorhynchus keta,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127183,8018,Aleutian Islands
Bathymaster signatus,Bathymaster signatus,accepted,Bathymaster signatus,NA,species,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,254513,274808,Aleutian Islands
Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,accepted,Hemilepidotus hemilepidotus,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254521,433390,Aleutian Islands
Lepidopsetta bilineata,Lepidopsetta bilineata,accepted,Lepidopsetta bilineata,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281305,NA,Aleutian Islands
Hexagrammos decagrammus,Hexagrammos decagrammus,accepted,Hexagrammos decagrammus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240732,274741,Aleutian Islands
Ammodytes hexapterus,Ammodytes hexapterus,accepted,Ammodytes hexapterus,NA,species,Actinopteri,Perciformes,Ammodytidae,Ammodytes,TRUE,TRUE,FALSE,254510,476914,Aleutian Islands
Somniosus pacificus,Somniosus pacificus,accepted,Somniosus pacificus,NA,species,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,TRUE,FALSE,FALSE,271654,305516,Aleutian Islands
Eumicrotremus orbis,Eumicrotremus orbis,accepted,Eumicrotremus orbis,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254535,433392,Aleutian Islands
Microstomus pacificus,Microstomus pacificus,accepted,Microstomus pacificus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,TRUE,FALSE,FALSE,274294,89058,Aleutian Islands
Sebastes variegatus,Sebastes variegatus,accepted,Sebastes variegatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274863,72106,Aleutian Islands
Lethotremus muticus,Lethotremus muticus,accepted,Lethotremus muticus,NA,species,Actinopteri,Perciformes,Cyclopteridae,Lethotremus,TRUE,FALSE,FALSE,254348,1482666,Aleutian Islands
Squalus acanthias,Squalus acanthias,accepted,Squalus acanthias,NA,species,Elasmobranchii,Squaliformes,Squalidae,Squalus,TRUE,TRUE,FALSE,105923,7797,Aleutian Islands
Sebastes ciliatus,Sebastes ciliatus,accepted,Sebastes ciliatus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274782,72065,Aleutian Islands
Malacocottus zonurus,Malacocottus zonurus,accepted,Malacocottus zonurus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,254406,200682,Aleutian Islands
Bathyraja parmifera,Bathyraja parmifera,accepted,Bathyraja parmifera,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271528,341249,Aleutian Islands
Hemilepidotus jordani,Hemilepidotus jordani,accepted,Hemilepidotus jordani,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,254522,274759,Aleutian Islands
Lepidopsetta polyxystra,Lepidopsetta polyxystra,accepted,Lepidopsetta polyxystra,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Lepidopsetta,TRUE,FALSE,FALSE,281307,433389,Aleutian Islands
Antimora microlepis,Antimora microlepis,accepted,Antimora microlepis,NA,species,Actinopteri,Gadiformes,Moridae,Antimora,TRUE,FALSE,FALSE,272460,497157,Aleutian Islands
Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,accepted,Myoxocephalus polyacanthocephalus,NA,species,Actinopteri,Perciformes,Cottidae,Myoxocephalus,TRUE,FALSE,FALSE,254528,238839,Aleutian Islands
Limanda aspera,Limanda aspera,accepted,Limanda aspera,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Limanda,TRUE,FALSE,FALSE,254562,195624,Aleutian Islands
Bathyraja taranetzi,Bathyraja taranetzi,accepted,Bathyraja taranetzi,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,TRUE,FALSE,298834,341250,Aleutian Islands
Clupea pallasii,Clupea pallasii,accepted,Clupea pallasii,NA,species,Actinopteri,Clupeiformes,Clupeidae,Clupea,TRUE,TRUE,TRUE,151159,30724,Aleutian Islands
Triglops scepticus,Triglops scepticus,accepted,Triglops scepticus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254531,274770,Aleutian Islands
Hemitripterus bolini,Hemitripterus bolini,accepted,Hemitripterus bolini,NA,species,NA,Scorpaeniformes,Hemitripteridae,Hemitripterus,TRUE,FALSE,FALSE,254541,470227,Aleutian Islands
Careproctus scottae,Careproctus scottae,accepted,Careproctus scottae,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274470,1837949,Aleutian Islands
Alepisaurus ferox,Alepisaurus ferox,accepted,Alepisaurus ferox,NA,species,Actinopteri,Aulopiformes,Alepisauridae,Alepisaurus,TRUE,FALSE,FALSE,126333,88653,Aleutian Islands
Hemilepidotus zapus,Hemilepidotus zapus,accepted,Hemilepidotus zapus,NA,species,Actinopteri,Perciformes,Cottidae,Hemilepidotus,TRUE,FALSE,FALSE,279414,274760,Aleutian Islands
Icosteus aenigmaticus,Icosteus aenigmaticus,accepted,Icosteus aenigmaticus,NA,species,Actinopteri,Scombriformes,Icosteidae,Icosteus,TRUE,FALSE,FALSE,281153,215386,Aleutian Islands
Crystallichthys cyclospilus,Crystallichthys cyclospilus,accepted,Crystallichthys cyclospilus,NA,species,Actinopteri,Perciformes,Liparidae,Crystallichthys,TRUE,FALSE,FALSE,280451,446810,Aleutian Islands
Bathyraja aleutica,Bathyraja aleutica,accepted,Bathyraja aleutica,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271506,341243,Aleutian Islands
Bathyraja panthera,Bathyraja panthera,accepted,Bathyraja panthera,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,712390,658173,Aleutian Islands
Hexagrammos lagocephalus,Hexagrammos lagocephalus,accepted,Hexagrammos lagocephalus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,240735,192377,Aleutian Islands
Albatrossia pectoralis,Albatrossia pectoralis,accepted,Albatrossia pectoralis,NA,species,Actinopteri,Gadiformes,Macrouridae,Albatrossia,TRUE,FALSE,FALSE,236135,83392,Aleutian Islands
Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,accepted,Pleuronectes quadrituberculatus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronectes,TRUE,FALSE,FALSE,254564,641111,Aleutian Islands
Podothecus accipenserinus,Podothecus accipenserinus,accepted,Podothecus accipenserinus,NA,species,Actinopteri,Perciformes,Agonidae,Podothecus,TRUE,FALSE,FALSE,254501,320612,Aleutian Islands
Protomyctophum thompsoni,Protomyctophum thompsoni,accepted,Protomyctophum thompsoni,NA,species,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,TRUE,FALSE,FALSE,272732,123331,Aleutian Islands
Sarritor frenatus,Sarritor frenatus,accepted,Sarritor frenatus,NA,species,Actinopteri,Perciformes,Agonidae,Sarritor,TRUE,FALSE,FALSE,254374,274777,Aleutian Islands
Rastrinus scutiger,Rastrinus scutiger,accepted,Rastrinus scutiger,NA,species,Actinopteri,Perciformes,Cottidae,Rastrinus,TRUE,FALSE,FALSE,282552,1311559,Aleutian Islands
Sebastes ruberrimus,Sebastes ruberrimus,accepted,Sebastes ruberrimus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274844,72098,Aleutian Islands
Temnocora candida,Temnocora candida,accepted,Temnocora candida,NA,species,Actinopteri,Perciformes,Liparidae,Temnocora,TRUE,FALSE,FALSE,282939,1696920,Aleutian Islands
Allocareproctus unangas,Allocareproctus unangas,accepted,Allocareproctus unangas,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279558,NA,Aleutian Islands
Sebastes proriger,Sebastes proriger,accepted,Sebastes proriger,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274838,394703,Aleutian Islands
Lycodapus poecilus,Lycodapus poecilus,accepted,Lycodapus poecilus,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279394,NA,Aleutian Islands
Bothrocara brunneum,Bothrocara brunneum,accepted,Bothrocara brunneum,NA,species,Actinopteri,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279397,557338,Aleutian Islands
Hexagrammos stelleri,Hexagrammos stelleri,accepted,Hexagrammos stelleri,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254545,192378,Aleutian Islands
Oncorhynchus nerka,Oncorhynchus nerka,accepted,Oncorhynchus nerka,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,254569,8023,Aleutian Islands
Bathyagonus alascanus,Bathyagonus alascanus,accepted,Bathyagonus alascanus,NA,species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254503,433408,Aleutian Islands
Careproctus furcellus,Careproctus furcellus,accepted,Careproctus furcellus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254548,557342,Aleutian Islands
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis,accepted,Cryptacanthodes aleutensis,NA,species,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276390,557343,Aleutian Islands
Thyriscus anoplus,Thyriscus anoplus,accepted,Thyriscus anoplus,NA,species,Actinopteri,Perciformes,Cottidae,Thyriscus,TRUE,FALSE,FALSE,282971,NA,Aleutian Islands
Bathyraja maculata,Bathyraja maculata,accepted,Bathyraja maculata,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271520,341246,Aleutian Islands
Careproctus comus,Careproctus comus,accepted,Careproctus comus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,398460,1696836,Aleutian Islands
Platichthys stellatus,Platichthys stellatus,accepted,Platichthys stellatus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,TRUE,TRUE,TRUE,154781,195632,Aleutian Islands
Bathyraja interrupta,Bathyraja interrupta,accepted,Bathyraja interrupta,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271515,341244,Aleutian Islands
Sebastes zacentrus,Sebastes zacentrus,accepted,Sebastes zacentrus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274869,72108,Aleutian Islands
Sebastes babcocki,Sebastes babcocki,accepted,Sebastes babcocki,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274775,72059,Aleutian Islands
Bathyagonus nigripinnis,Bathyagonus nigripinnis,accepted,Bathyagonus nigripinnis,NA,species,Actinopteri,Perciformes,Agonidae,Bathyagonus,TRUE,FALSE,FALSE,254505,433409,Aleutian Islands
Gymnocanthus galeatus,Gymnocanthus galeatus,accepted,Gymnocanthus galeatus,NA,species,Actinopteri,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254514,980328,Aleutian Islands
Careproctus faunus,Careproctus faunus,accepted,Careproctus faunus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,398463,1696837,Aleutian Islands
Lamna ditropis,Lamna ditropis,accepted,Lamna ditropis,NA,species,Elasmobranchii,Lamniformes,Lamnidae,Lamna,TRUE,FALSE,FALSE,271421,38578,Aleutian Islands
Eumicrotremus phrynoides,Eumicrotremus phrynoides,accepted,Eumicrotremus phrynoides,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254536,1482665,Aleutian Islands
Chauliodus macouni,Chauliodus macouni,accepted,Chauliodus macouni,NA,species,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,TRUE,FALSE,FALSE,275055,302055,Aleutian Islands
Thaleichthys pacificus,Thaleichthys pacificus,accepted,Thaleichthys pacificus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,TRUE,TRUE,TRUE,282959,240832,Aleutian Islands
Bryozoichthys lysimus,Bryozoichthys lysimus,accepted,Bryozoichthys lysimus,NA,species,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,279418,1317002,Aleutian Islands
Icelus uncinalis,Icelus uncinalis,accepted,Icelus uncinalis,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,274388,NA,Aleutian Islands
Bryozoichthys marjorius,Bryozoichthys marjorius,accepted,Bryozoichthys marjorius,NA,species,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,TRUE,FALSE,FALSE,254575,1311538,Aleutian Islands
Triglops forficatus,Triglops forficatus,accepted,Triglops forficatus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,254530,1573627,Aleutian Islands
Icelinus borealis,Icelinus borealis,accepted,Icelinus borealis,NA,species,Actinopteri,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281133,433388,Aleutian Islands
Allocareproctus kallaion,Allocareproctus kallaion,accepted,Allocareproctus kallaion,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279556,NA,Aleutian Islands
Coryphaenoides cinereus,Coryphaenoides cinereus,accepted,Coryphaenoides cinereus,NA,species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272326,83391,Aleutian Islands
Nectoliparis pelagicus,Nectoliparis pelagicus,accepted,Nectoliparis pelagicus,NA,species,Actinopteri,Perciformes,Liparidae,Nectoliparis,TRUE,FALSE,FALSE,281641,446815,Aleutian Islands
Sebastes melanops,Sebastes melanops,accepted,Sebastes melanops,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274817,72085,Aleutian Islands
Allocareproctus jordani,Allocareproctus jordani,accepted,Allocareproctus jordani,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279555,1696904,Aleutian Islands
Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus,accepted,Bathymaster caeruleofasciatus,NA,species,Actinopteri,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,279415,1188226,Aleutian Islands
Careproctus simus,Careproctus simus,accepted,Careproctus simus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274473,1642164,Aleutian Islands
Bolinia euryptera,Bolinia euryptera,accepted,Bolinia euryptera,NA,species,Actinopteri,Perciformes,Cottidae,Bolinia,TRUE,FALSE,FALSE,398458,NA,Aleutian Islands
Caristius macropus,Caristius macropus,accepted,Caristius macropus,NA,species,Actinopteri,Scombriformes,Caristiidae,Caristius,TRUE,FALSE,FALSE,126824,740692,Aleutian Islands
Paraliparis dactylosus,Paraliparis dactylosus,accepted,Paraliparis dactylosus,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,557357,Aleutian Islands
Icelus spiniger,Icelus spiniger,accepted,Icelus spiniger,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,557345,Aleutian Islands
Malacocottus kincaidi,Malacocottus kincaidi,accepted,Malacocottus kincaidi,NA,species,Actinopteri,Perciformes,Psychrolutidae,Malacocottus,TRUE,FALSE,FALSE,279442,433396,Aleutian Islands
Careproctus ectenes,Careproctus ectenes,accepted,Careproctus ectenes,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274424,NA,Aleutian Islands
Anoplarchus insignis,Anoplarchus insignis,accepted,Anoplarchus insignis,NA,species,Actinopteri,Perciformes,Stichaeidae,Anoplarchus,TRUE,FALSE,FALSE,279632,1225888,Aleutian Islands
Embassichthys bathybius,Embassichthys bathybius,accepted,Embassichthys bathybius,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Embassichthys,TRUE,FALSE,FALSE,280641,320376,Aleutian Islands
Dasycottus setiger,Dasycottus setiger,accepted,Dasycottus setiger,NA,species,Actinopteri,Perciformes,Psychrolutidae,Dasycottus,TRUE,FALSE,FALSE,280488,274783,Aleutian Islands
Artedius harringtoni,Artedius harringtoni,accepted,Artedius harringtoni,NA,species,Actinopteri,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279701,433399,Aleutian Islands
Sebastes crameri,Sebastes crameri,accepted,Sebastes crameri,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274785,72067,Aleutian Islands
Allocareproctus ungak,Allocareproctus ungak,accepted,Allocareproctus ungak,NA,species,Actinopteri,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279559,NA,Aleutian Islands
Paraliparis pectoralis,Paraliparis pectoralis,accepted,Paraliparis pectoralis,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274604,557360,Aleutian Islands
Hypsagonus quadricornis,Hypsagonus quadricornis,accepted,Hypsagonus quadricornis,NA,species,Actinopteri,Perciformes,Agonidae,Hypsagonus,TRUE,FALSE,FALSE,254508,274775,Aleutian Islands
Psychrolutes paradoxus,Psychrolutes paradoxus,accepted,Psychrolutes paradoxus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,254566,980342,Aleutian Islands
Sebastes reedi,Sebastes reedi,accepted,Sebastes reedi,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274840,394704,Aleutian Islands
Isopsetta isolepis,Isopsetta isolepis,accepted,Isopsetta isolepis,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,TRUE,FALSE,FALSE,281189,195617,Aleutian Islands
Careproctus rastrinus,Careproctus rastrinus,accepted,Careproctus rastrinus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274464,446788,Aleutian Islands
Lycodes diapterus,Lycodes diapterus,accepted,Lycodes diapterus,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254597,215426,Aleutian Islands
Icelus euryops,Icelus euryops,accepted,Icelus euryops,NA,species,Actinopteri,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,274379,NA,Aleutian Islands
Lycodes beringi,Lycodes beringi,accepted,Lycodes beringi,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,398582,215428,Aleutian Islands
Sebastolobus macrochir,Sebastolobus macrochir,accepted,Sebastolobus macrochir,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282742,98657,Aleutian Islands
Elassodiscus tremebundus,Elassodiscus tremebundus,accepted,Elassodiscus tremebundus,NA,species,Actinopteri,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280631,446813,Aleutian Islands
Hexagrammos octogrammus,Hexagrammos octogrammus,accepted,Hexagrammos octogrammus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254544,192375,Aleutian Islands
Diaphus theta,Diaphus theta,accepted,Diaphus theta,NA,species,Actinopteri,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272694,91653,Aleutian Islands
Melamphaes lugubris,Melamphaes lugubris,accepted,Melamphaes lugubris,NA,species,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,TRUE,FALSE,FALSE,274932,319444,Aleutian Islands
Careproctus cypselurus,Careproctus cypselurus,accepted,Careproctus cypselurus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274421,433400,Aleutian Islands
Sebastolobus altivelis,Sebastolobus altivelis,accepted,Sebastolobus altivelis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,8110,Aleutian Islands
Lampanyctus jordani,Lampanyctus jordani,accepted,Lampanyctus jordani,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,272712,517134,Aleutian Islands
Aspidophoroides monopterygius,Aspidophoroides monopterygius,accepted,Aspidophoroides monopterygius,NA,species,Actinopteri,Perciformes,Agonidae,Aspidophoroides,TRUE,FALSE,FALSE,159459,255537,Aleutian Islands
Ruscarius meanyi,Ruscarius meanyi,accepted,Ruscarius meanyi,NA,species,Actinopteri,Perciformes,Cottidae,Ruscarius,TRUE,FALSE,FALSE,282637,459053,Aleutian Islands
Lumpenella longirostris,Lumpenella longirostris,accepted,Lumpenella longirostris,NA,species,Actinopteri,Perciformes,Stichaeidae,Lumpenella,TRUE,FALSE,FALSE,254351,557408,Aleutian Islands
Triglops pingelii,Triglops pingelii,accepted,Triglops pingelii,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,433391,Aleutian Islands
Liparis gibbus,Liparis gibbus,accepted,Liparis gibbus,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,159526,255718,Aleutian Islands
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,accepted,Oncorhynchus gorbuscha,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,8017,Aleutian Islands
Oneirodes thompsoni,Oneirodes thompsoni,accepted,Oneirodes thompsoni,NA,species,Actinopteri,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254554,412658,Aleutian Islands
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,30960,Aleutian Islands
Elassodiscus caudatus,Elassodiscus caudatus,accepted,Elassodiscus caudatus,NA,species,Actinopteri,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280629,446812,Aleutian Islands
Bathyraja trachura,Bathyraja trachura,accepted,Bathyraja trachura,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271538,341251,Aleutian Islands
Triglops metopias,Triglops metopias,accepted,Triglops metopias,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274400,NA,Aleutian Islands
Oneirodes bulbosus,Oneirodes bulbosus,accepted,Oneirodes bulbosus,NA,species,Actinopteri,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254553,1154599,Aleutian Islands
